author,content,description,publishedAt,source/id,source/name,title,url,urlToImage
"Yessenia Funes on Earther, shared by Brian Kahn to Gizmodo","The most recent Australian bushfire season from hell is one for the record books. And a new analysis published Wednesday shows all the ways humans made it worse, and its clearer than ever that climate change left its mark all over this disaster.\\n\\nThe findings… [+3222 chars]","The most recent Australian bushfire season from hell is one for the record books. And a new analysis published Wednesday shows all the ways humans made it worse, and it’s clearer than ever that climate change left its mark all over this disaster. Read more...","2020-03-04T18:40:00Z","","Gizmodo.com","We Now Know How Much Climate Change Contributed to Australia's Disastrous Bushfires","https://earther.gizmodo.com/we-now-know-how-much-climate-change-contributed-to-aust-1842090462","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/iarxg3unlsxqdueynj9m.jpg"
"Dharna Noor on Earther, shared by Brian Kahn to Gizmodo","On Wednesday, the Senate approved a $2 trillion covid-19 stimulus package. It could spell disaster for the climate.\\n\\nDemocrats failed to win the inclusion of tax credits for renewable energy or rules forcing airlines cut their greenhouse gas emissions. And th… [+2597 chars]","On Wednesday, the Senate approved a $2 trillion covid-19 stimulus package. It could spell disaster for the climate. Read more...","2020-03-26T16:58:00Z","","Gizmodo.com","How Fossil Fuel Companies Could Profit From the Covid-19 Stimulus Package","https://earther.gizmodo.com/how-fossil-fuel-companies-could-profit-from-the-covid-1-1842510430","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/xovbogsdfko7bppgyqmf.jpg"
"George Dvorsky on Earther, shared by Brian Kahn to Gizmodo","An individual involved with an international expedition to study the effects of climate change in the Arctic has tested positive for the coronavirus, in a development that could interrupt this important science mission.\\n\\nA team member of the expedition known … [+3959 chars]","An individual involved with an international expedition to study the effects of climate change in the Arctic has tested positive for the coronavirus, in a development that could interrupt this important science mission. Read more...","2020-03-11T21:36:00Z","","Gizmodo.com","Ice-Locked Arctic Science Expedition Faces Challenges After Team Member Tests Positive for COVID-19","https://earther.gizmodo.com/ice-locked-arctic-science-expedition-faces-challenges-a-1842275015","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/rxyajittipp7p3nqgh7s.jpg"
"Yessenia Funes on Earther, shared by Brian Kahn to Gizmodo","The first major Senate energy package in over a decade may not survive because a few Republicans are trying to block regulations on hydrofluorocarbons (HFCs), a potent greenhouse gas that can be found in air conditioners or refrigerators. \\n\\nSenators Lisa Murk… [+2378 chars]","The first major Senate energy package in over a decade may not survive because a few Republicans are trying to block regulations on hydrofluorocarbons (HFCs), a potent greenhouse gas that can be found in air conditioners or refrigerators. Read more...","2020-03-10T21:20:00Z","","Gizmodo.com","A Few Republicans Threaten to Derail a Giant Senate Energy Bill Over Air Conditioner Emissions","https://earther.gizmodo.com/a-few-republicans-threaten-to-derail-a-giant-senate-ene-1842245865","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/bg1bohnvqqn7mms0eysj.jpg"
"Dharna Noor on Earther, shared by Brian Kahn to Gizmodo","The U.S. government definitely has its priorities in order. Apparently, its considering using the coronavirus outbreak as an excuse to pour money into fossil fuel companies.\\n\\nThe Washington Post reports that the Trump administration is considering kicking mon… [+2933 chars]","The U.S. government definitely has its priorities in order. Apparently, it’s considering using the coronavirus outbreak as an excuse to pour money into fossil fuel companies. Read more...","2020-03-10T20:47:00Z","","Gizmodo.com","A Fracking Bailout Is A Terrible Idea","https://earther.gizmodo.com/a-fracking-bailout-is-a-terrible-idea-1842246263","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/bqx2t8ef3qxseto1t4zh.jpg"
"Yessenia Funes on Earther, shared by Brian Kahn to Gizmodo","As hopeless as solving the climate crisis can feel, solutions exist today. Realistic ones that wouldnt be costly. In fact, theyd make us richer than if we continue to ignore the risks of the crisis. \\n\\nA group of researchers compiled the 76 best ones on a list… [+4144 chars]","As hopeless as solving the climate crisis can feel, solutions exist today. Realistic ones that wouldn’t be costly. In fact, they’d make us richer than if we continue to ignore the risks of the crisis. Read more...","2020-03-03T21:40:00Z","","Gizmodo.com","New Report Lays Out 76 Solutions We Already Have to Fight the Climate Crisis","https://earther.gizmodo.com/new-report-lays-out-76-solutions-we-already-have-to-fig-1842064686","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/mfm2nrsylsvzwvzbm1wm.jpg"
"Tom McKay","The latest news from the White House on the ongoing spread of the novel coronavirus, which the Centers for Disease Control has warned is likely to hit the U.S. imminently, is not very reassuring: Vice President Mike Pence, whose poor epidemiological instincts… [+5727 chars]","The latest news from the White House on the ongoing spread of the novel coronavirus, which the Centers for Disease Control has warned is likely to hit the U.S. imminently, is not very reassuring: Vice President Mike Pence, whose poor epidemiological instincts…","2020-02-27T01:20:00Z","","Gizmodo.com","Trump: Don't Worry, We're Putting Mike Pence on This Coronavirus Thing","https://gizmodo.com/trump-dont-worry-were-putting-mike-pence-on-this-coro-1841943196","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ahyw3v8sbc1htk6iaedc.jpg"
"Jocelyn Timperley on Earther, shared by Brian Kahn to Gizmodo","The United Nations official aviation body begins three weeks of talks this week. The International Civil Aviation Organization (ICAO) council meeting will discuss all manner of aviation-related topics, from coronavirus to unannounced missile launches. But it … [+11219 chars]","The United Nations’ official aviation body begins three weeks of talks this week. The International Civil Aviation Organization (ICAO) council meeting will discuss all manner of aviation-related topics, from coronavirus to unannounced missile launches. But it…","2020-03-05T16:39:00Z","","Gizmodo.com","How the UN's Shady Aviation Organization Could Upend a Key Effort to Combat Climate Change","https://earther.gizmodo.com/how-the-uns-shady-aviation-organization-could-upend-a-k-1842119869","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/pcxs8zlneujoaeqveowy.jpg"
"Dharna Noor on Earther, shared by Brian Kahn to Gizmodo","The European Commissions released its long-awaited climate law proposal in Brussels on Wednesday. It would commit the 27 nations in the EU to become carbon neutral by 2050. To pass, the law needs the approval of the European Parliament and the EUs 27 member s… [+4075 chars]","The European Commission’s released its long-awaited climate law proposal in Brussels on Wednesday. It would commit the 27 nations in the EU to become carbon neutral by 2050. To pass, the law needs the approval of the European Parliament and the EU’s 27 member…","2020-03-04T19:38:00Z","","Gizmodo.com","The Huge Holes in the EU's New Climate Law Proposal","https://earther.gizmodo.com/the-huge-holes-in-the-eus-new-climate-law-proposal-1842093077","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/nuganf0pau1yspuboyya.jpg"
"Niko Vorobyov on Earther, shared by Brian Kahn to Gizmodo","The dark, rocky face of the Dois Irmãos Mountain rises over the rainforest and through the clouds, overlooking the largest slum in Latin America. A young man emerges from around the corner of an alleyway to meet me with a handgun tucked under his arm; the loc… [+13416 chars]","The dark, rocky face of the Dois Irmãos Mountain rises over the rainforest and through the clouds, overlooking the largest slum in Latin America. A young man emerges from around the corner of an alleyway to meet me with a handgun tucked under his arm; the loc…","2020-02-26T16:30:00Z","","Gizmodo.com","Brazil Is Cracking Down on Climate Migrants While Worsening the Climate Crisis","https://earther.gizmodo.com/brazil-is-cracking-down-on-climate-migrants-while-worse-1841796897","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/lkrj51nuubckgkvr680d.gif"
"Amy Brady on Earther, shared by Brian Kahn to Gizmodo","Growing up in the Norwegian Arcticone of the coldest places on Earthjournalist Bjørn Vassnes became fascinated with the natural sciences. Today, he pens a science column for one of Norways most popular daily newspapers and hosts the television science program… [+7542 chars]","Growing up in the Norwegian Arctic—one of the coldest places on Earth—journalist Bjørn Vassnes became fascinated with the natural sciences. Today, he pens a science column for one of Norway’s most popular daily newspapers and hosts the television science prog…","2020-03-24T15:07:00Z","","Gizmodo.com","Kingdom of Frost Explores How Frozen Landscapes Shaped Humanity","https://earther.gizmodo.com/kingdom-of-frost-explores-how-frozen-landscapes-shaped-1842470580","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/y63vx5wuyomvs8zmymnq.jpg"
"Bryan Menegus","Sick DaysWelcome to Sick Days, a collection of stories from readers on how the current covid-19 health crisis is changing the way they work and the futures they can expect in these uncertain times.\\n\\nThis is the first edition of Sick Days, a new series documen… [+16622 chars]","Read more...","2020-03-19T17:30:00Z","","Gizmodo.com","Sick Days: Stories From People Keeping the World Running","https://gizmodo.com/sick-days-stories-from-people-keeping-the-world-runnin-1842410993","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/eqbricapqkizzvpfcexr.png"
"Mark Stetson","Your planet has warmed up by nearly 2 degrees Fahrenheit, or just over 1 degree Celsius, since the late 1800s. Were on track to warm Earth by around another 3.5 degrees Fahrenheit this century.","Your planet has warmed up by nearly 2 degrees Fahrenheit, or just over 1 degree Celsius, since the late 1800s. We’re on track to warm Earth by around another 3.5 degrees Fahrenheit this century. Read more... More about Science, Mashable Video, Environment, Gl…","2020-03-05T17:53:19Z","mashable","Mashable","Even the 'optimistic' climate change forecast is catastrophic","https://mashable.com/video/catastrophic-climate-change/","https://mondrian.mashable.com/2020%252F03%252F05%252Fe9%252Fcbd806c7b7874b5c923e49be0e864b58.b2993.png%252F1200x630.png?signature=ouCehFPsl3bjhzgTuNyc_xoqPCk="
"Mark Kaufman","Some 80 million passengers fly through London's Heathrow Airport each year, but to boost its capacity by another 50 million, the airport seeks to add a third runway. This could make Heathrow, by far, the busiest airport on Earth.\\n\\nBut three UK judges on Thurs… [+4529 chars]","Some 80 million passengers fly through London's Heathrow Airport each year, but to boost its capacity by another 50 million, the airport seeks to add a third runway. This could make Heathrow, by far, the busiest airport on Earth. But three UK judges on Thursd…","2020-02-27T18:38:06Z","mashable","Mashable","Major new airport runway nixed because of the warming planet","https://mashable.com/article/heathrow-airport-runway-blocked-climate-change/","https://mondrian.mashable.com/2020%252F02%252F27%252Ff4%252F3b8420030cd547809f054795adba0770.47b84.jpg%252F1200x630.jpg?signature=OVMOABCJuHSOsdnpPdVhaud9nOs="
"Mark Kaufman","The greatest masses of ice on Earth, in Antarctica and Greenland, aren't just melting this melt is accelerating. \\n\\nHow much ice are these critical polar regions losing into the oceans? NASA uses satellites to diligently measure the conditions of these colossa… [+2601 chars]","The greatest masses of ice on Earth, in Antarctica and Greenland, aren't just melting — this melt is accelerating. How much ice are these critical polar regions losing into the oceans? NASA uses satellites to diligently measure the conditions of these colossa…","2020-03-13T16:16:17Z","mashable","Mashable","NASA sticks a colossal ice block in NYC in new video","https://mashable.com/article/antarctica-greenland-melting-gigatonne-ice/","https://mondrian.mashable.com/2020%252F03%252F13%252F9b%252F990df7c1ddf44aa5aa054327a488e00e.5a7a5.png%252F1200x630.png?signature=EDu7gD6QEPaL038oqXBPdwkRpZQ="
"Mark Kaufman","Some 8,000 miles from the elegantly carpeted U.S. Capitol in Washington, D.C., lies an eerie, dark, underwater place a place that threatens to redraw maps all over the globe. This realm, found under a nearly 2,000-foot-thick slab of ice in Antarctica, is wher… [+10537 chars]","Some 8,000 miles from the elegantly carpeted U.S. Capitol in Washington, D.C., lies an eerie, dark, underwater place — a place that threatens to redraw maps all over the globe. This realm, found under a nearly 2,000-foot-thick slab of ice in Antarctica, is wh…","2020-02-27T11:00:00Z","mashable","Mashable","What, exactly, does Congress understand about the world's most threatening glacier?","https://mashable.com/article/thwaites-glacier-what-congress-knows/","https://mondrian.mashable.com/2020%252F02%252F27%252F5f%252F6a940845d3334d70886e33192cda458a.62790.jpg%252F1200x630.jpg?signature=LmuFMCn5UoNb_UrWfwSFhvddCJ0="
"Mark Kaufman","The surge in New York City's coronavirus infections is already so critical that the chief medical officer at a major hospital system warned staff of the grim reality: ""...there will be loss, and suffering, and at times perhaps each of us will question our wil… [+5255 chars]","The surge in New York City's coronavirus infections is already so critical that the chief medical officer at a major hospital system warned staff of the grim reality: ""...there will be loss, and suffering, and at times perhaps each of us will question our wil…","2020-03-26T10:00:00Z","mashable","Mashable","Coronavirus won’t make a dent in the climate problem","https://mashable.com/article/coronavirus-carbon-emissions-climate/","https://mondrian.mashable.com/2020%252F03%252F25%252F0e%252Fdb8018a4267440d4bc5cf595f339ad2d.6e162.png%252F1200x630.png?signature=NEnoq-JJ3SrEDVKf15bfyiwKO0A="
"https://www.facebook.com/bbcnews","Image copyrightGetty ImagesImage caption\\n\\n Greta Thunberg accused the EU of ""pretending"" to tackle climate change\\n\\nSwedish teen activist Greta Thunberg has rebuked the EU's plan for tackling climate change, telling MEPs it amounts to ""surrender"".\\n\\nMs Thunberg… [+2963 chars]","Addressing MEPs in Brussels, the activist accused the EU of ""pretending to be a climate leader"".","2020-03-04T17:35:44Z","bbc-news","BBC News","Greta Thunberg brands EU's new climate law 'surrender'","https://www.bbc.co.uk/news/world-europe-51736134","https://ichef.bbci.co.uk/news/1024/branded_news/16C27/production/_111132239_060429446-1.jpg"
"Chandelis Duster, CNN","Washington (CNN)An Interior Department official pushed misleading information about climate change into the agency's reports, according to The New York Times, at a time when the Trump administration has rolled back environmental protection regulations and rep… [+2106 chars]","An Interior Department official pushed misleading information about climate change into the agency's reports, according to The New York Times, at a time when the Trump administration has rolled back environmental protection regulations and repeatedly downplay…","2020-03-02T15:38:24Z","cnn","CNN","NYT: Interior official pushes misleading information on climate crisis in reports","https://www.cnn.com/2020/03/02/politics/interior-official-climate-change/index.html","https://cdn.cnn.com/cnnnext/dam/assets/181011133844-department-of-interior-seal-super-tease.jpg"
"https://www.facebook.com/bbcnews","Image copyrightSterling CaviarImage caption\\n\\n More caviar might have to come from farmed sturgeon\\n\\nOverfishing has depleted numbers of wild fish, and fish farms meet much of the growing demand. Could we one day be eating ""fish"" grown from cells in a factory, … [+5170 chars]","Start-ups are growing fish ""meat"" in labs and say it will be competitive with fish from the sea.","2020-03-24T01:38:07Z","bbc-news","BBC News","Could synthetic fish be a better catch of the day?","https://www.bbc.co.uk/news/business-51657573","https://ichef.bbci.co.uk/news/1024/branded_news/6C86/production/_111128772_wilton_loading_fish.jpg"
"Scott K. Johnson","2 with 2 posters participating\\n\\nA paper published last June was catnip for those who are desperate to explain climate change with anything but human-caused greenhouse gas emissions. It was also apparently wrong enough to be retracted this week by the journal … [+6106 chars]","It turns out the Earth is also subject to gravity, which was a problem.","2020-03-06T17:58:49Z","ars-technica","Ars Technica","Paper that claimed the Sun caused global warming gets retracted","https://arstechnica.com/science/2020/03/paper-that-claimed-the-sun-caused-global-warming-gets-retracted/","https://cdn.arstechnica.net/wp-content/uploads/2020/03/nasa_386_SunEmitsSolsticeFlare1200w-760x380.jpg"
"Jennifer Ouellette","Enlarge/ Widely known and revered in southeast Asia as the ""king of fruits"", the durian is distinctive for its large size, strong odor (often compared to rotten onions, raw sewage, or turpentine), and formidable thorn-covered husk\\n\\n0 with 0 posters participat… [+5280 chars]","Durian and jackfruit make better, cheaper aerogels for super-capacitors","2020-03-07T20:00:30Z","ars-technica","Ars Technica","Super-stinky durian fruit could charge your cell phone someday","https://arstechnica.com/science/2020/03/super-stinky-durian-fruit-could-charge-your-cell-phone-someday/","https://cdn.arstechnica.net/wp-content/uploads/2020/03/durianTOP-760x380.jpg"
"Eric M. Johnson","SEATTLE (Reuters) - Boeing Co (BA.N) plans to restart 737 MAX production by May, ending a months-long halt triggered by a safety ban on its best-selling jet after fatal crashes, people familiar with the matter said on Tuesday. \\n\\nBoeing’s planning hinges on th… [+2137 chars]","Boeing Co plans to restart 737 MAX production by May, ending a months-long halt triggered by a safety ban on its best-selling jet after fatal crashes, people familiar with the matter said on Tuesday.","2020-03-25T00:06:20Z","reuters","Reuters","Exclusive: Boeing plans 737 MAX production restart by May - sources","https://www.reuters.com/article/us-boeing-737max-production-exclusive-idUSKBN21C005","https://s2.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1507761086&w=1200&r=LYNXMPEG2O004"
"Isabella Gomez Sarmiento","Students at Pole Pressure in Washington, D.C. combine strength, flexibility and creativity to learn routines in class.\\n\\nKisha Ravi/NPR\\n\\nIt's Friday afternoon, and 12 people are gathered in a pole dancing class in Washington, D.C. They start warming up in fron… [+4858 chars]","The International Pole Sports Federation is working to get pole dancing permanently recognized as a sport. Advocates say it combines strength, flexibility, creativity and a whole lot of training.","2020-03-12T13:01:20Z","","Npr.org","Pole Dancing Made It To The Super Bowl. Now It Wants Another Stage: The Olympics","https://www.npr.org/2020/03/12/813961406/pole-dancing-made-it-to-the-super-bowl-now-it-wants-another-stage-the-olympics","https://media.npr.org/assets/img/2020/03/10/_dsc0195_wide-d9cf3566f5fa25098cdea196d7e9f59831b2808b.jpg?s=1400"
"Nathan Rott","Karen Ford (left) and Lane Murraya stock rescued koalas with fresh eucalyptus branches. Ford has been collecting the branches on her property, which suffered fire damage.\\n\\nNathan Rott/NPR\\n\\nIn the back corner of a burned lot in Australia's fire-ravaged South C… [+7920 chars]","After devastating fires, there are signs of regrowth across much of eastern Australia. But there's also concern that a changing climate may alter some of the country's unique landscapes forever.","2020-03-14T11:00:32Z","","Npr.org","Australia's Fire-Ravaged Forests are Recovering. Ecologists Hope It Lasts","https://www.npr.org/2020/03/14/810152967/australias-fire-ravaged-forests-are-recovering-ecologists-hope-it-lasts","https://media.npr.org/assets/img/2020/03/13/australia-rott-1_wide-b122a4ea164c478d86710f206ab196e50c8ad736.jpg?s=1400"
"Brian Kateman","February\\n\\n26, 2020\\n\\n8 min read\\n\\nOpinions expressed by Entrepreneur contributors are their own.\\n\\nThe U.S. is seeing incredible technological innovation in the plant-based food industry. The quality of products, and their likeness to animal-based meat, continue… [+8694 chars]","While the U.S. is seeing a huge appetite for plant-based meat and cutting-edge innovation, the rest of the world is also waking up to peoples' demand for a healthier, more sustainable way of living and eating.","2020-02-26T21:00:00Z","","Entrepreneur.com","Plant-based Meat Has Officially Reached 'Global Phenomenon' Status","https://www.entrepreneur.com/article/346116","https://assets.entrepreneur.com/content/3x2/2000/20200225215842-GettyImages-1181103851.jpeg"
